xmin xmax ymin ymax
1174 1239 1 89
1028 1081 3 70
1279 1632 723 1056
1073 1119 1 45
1353 1496 174 473
1270 1610 707 1056
1181 1265 38 163
1207 1264 3 108
1285 1343 7 98
1410 1475 15 119
1073 1143 11 100
1381 1537 189 463
1151 1234 41 172
1259 1348 2 131
1290 1640 730 1056
1046 1118 2 108
1398 1445 18 130
1385 1536 185 485
1138 1242 42 171
1122 1184 6 118
1296 1635 734 1056
1389 1537 179 478
801 892 1 215
1144 1250 38 157
1283 1366 24 123
1172 1557 768 1055
1190 1544 715 1056
1377 1546 187 476
879 979 28 307
1160 1262 45 171
1264 1337 32 148
892 977 1 81
1194 1542 719 1053
1388 1544 184 471
899 1007 28 319
1215 1303 50 255
1278 1337 27 152
934 1003 1 70
1187 1550 723 1052
1403 1528 165 471
754 849 65 455
907 1010 16 322
1186 1292 65 219
1274 1358 25 118
929 1019 1 72
928 1184 257 815
1175 1541 776 1056
1404 1533 171 472
1235 1368 319 549
897 1006 45 333
1220 1295 52 222
1276 1330 27 160
932 1012 1 74
270 675 526 1056
1178 1545 760 1053
1372 1543 190 469
905 1020 46 340
1234 1299 58 246
887 963 17 241
1278 1347 29 110
1154 1549 748 1056
1366 1542 192 475
900 1018 46 343
1225 1311 53 218
1278 1352 28 112
876 985 1 238
1179 1557 753 1056
1367 1557 187 477
901 1023 41 336
1273 1349 28 128
1211 1293 41 176
892 986 1 166
1181 1552 747 1056
875 1033 119 533
1360 1512 176 471
888 978 1 189
1214 1305 51 197
1264 1342 20 116
1330 1527 292 795
1248 1573 716 1056
1375 1522 186 424
860 978 11 325
1242 1317 21 154
1561 1778 326 751
834 977 28 439
1377 1521 208 469
1218 1301 53 251
1350 1774 776 1056
1247 1326 23 123
1339 1723 741 1056
1555 1749 300 728
853 982 45 397
1381 1518 198 423
1180 1249 48 172
1270 1332 33 146
1570 1761 305 724
1438 1710 756 1056
841 957 3 353
1377 1530 201 428
1211 1288 52 168
1278 1340 30 114
1390 1707 772 1056
1551 1749 295 718
810 951 1 328
1387 1559 225 418
1204 1289 43 195
1264 1343 23 123
1554 1752 295 716
818 949 1 328
1424 1567 182 472
1206 1286 44 198
1445 1524 67 267
1101 1396 713 1056
1569 1776 298 705
1166 1387 730 1046
801 946 4 327
1448 1598 188 435
1477 1554 90 246
1214 1281 45 186
1114 1393 735 1056
1575 1768 301 710
1448 1619 202 427
844 969 1 330
1201 1280 43 169
1489 1568 95 253
1572 1769 300 706
1138 1394 720 1056
807 948 1 336
1395 1556 172 472
1212 1295 46 213
1467 1546 80 233
1570 1770 298 703
819 945 1 338
1416 1547 164 467
1202 1286 42 208
1499 1585 92 249
1127 1419 731 1056
1572 1792 318 715
1249 1545 401 875
1450 1582 194 523
845 965 8 350
1457 1552 249 423
1204 1277 50 175
762 846 265 361
1010 1052 6 60
1521 1589 95 197
1211 1445 390 907
857 997 19 363
1418 1562 188 446
1158 1250 41 175
1780 1920 400 706
1194 1452 462 918
832 941 24 338
1417 1568 187 417
1153 1263 51 184
1264 1329 16 132
1490 1588 103 210
1786 1920 390 685
1198 1454 441 920
1389 1545 211 463
829 927 1 268
1202 1285 72 202
1264 1323 16 119
1775 1918 359 658
1490 1599 94 222
23 339 471 977
1456 1736 413 832
1372 1513 189 420
1240 1307 47 255
767 849 1 144
1258 1319 19 85
1510 1626 121 249
822 858 17 89
1387 1451 39 125
443 811 516 1056
1568 1753 371 737
1420 1547 191 450
1241 1310 46 226
1260 1321 18 80
583 655 87 218
1499 1588 109 251
1084 1386 354 967
1566 1748 346 731
877 1035 57 356
790 897 79 428
1417 1540 159 416
1235 1310 49 256
1500 1604 105 248
1245 1322 21 103
1305 1529 260 827
909 1095 362 869
1578 1811 400 762
857 970 22 295
1427 1542 177 343
1234 1311 53 249
1295 1368 38 100
860 964 3 97
1518 1859 419 949
1140 1412 350 962
909 1179 570 1056
1095 1241 318 693
1567 1754 353 711
863 1015 326 724
1466 1668 196 419
881 977 1 223
1636 1724 197 406
1244 1321 2 141
1188 1271 45 166
1370 1415 18 89
1315 1598 404 943
1566 1810 294 711
1130 1353 350 833
909 1037 90 493
1395 1546 210 469
1214 1306 46 184
1059 1145 1 97
886 957 1 107
1251 1324 13 80
441 739 478 1056
1417 1600 295 817
1274 1474 373 855
1619 1806 273 721
1443 1559 180 409
865 949 1 226
1244 1321 1 154
1077 1158 1 123
1198 1258 48 171
1640 1713 197 415
1678 1769 272 477
1050 1276 328 927
1471 1709 337 850
1 260 417 950
1346 1545 368 840
1631 1894 339 725
1363 1526 181 412
1670 1776 239 467
874 964 5 257
1226 1317 53 168
935 1003 1 230
1262 1336 5 112
1127 1208 1 116
844 1263 472 1056
1168 1362 320 770
1579 1770 322 693
920 1079 246 696
1390 1523 184 399
1520 1611 122 267
1093 1210 42 162
1227 1288 11 146
1418 1484 36 131
1663 1812 259 666
1689 1784 232 388
1358 1408 37 105
856 1199 374 1056
1172 1367 333 886
1581 1769 314 705
921 1080 248 545
1371 1578 237 395
1223 1302 58 257
1516 1621 116 256
1233 1288 16 87
1354 1409 47 118
1408 1465 51 128
1418 1471 5 90
1673 1814 280 676
1691 1787 249 421
1141 1441 340 884
791 975 136 700
1585 1749 316 693
1005 1140 243 822
1414 1535 189 426
1241 1312 49 193
874 945 1 111
1230 1274 16 105
1527 1627 127 253
1658 1794 264 662
1390 1439 19 111
1355 1423 40 122
1286 1558 305 787
1058 1284 275 832
1564 1745 317 705
1660 1819 277 693
863 997 1 306
1445 1556 176 387
1238 1302 48 257
1514 1620 109 245
1232 1274 21 100
1363 1408 48 106
1370 1410 13 77
1391 1670 338 810
1149 1389 298 869
1574 1741 308 672
1450 1580 178 395
1101 1178 1 132
1190 1263 46 179
1231 1301 12 154
1726 1831 266 456
1788 1920 366 661
1493 1596 89 238
1665 1734 189 328
1356 1572 274 784
1736 1874 326 625
1387 1543 174 444
1208 1305 57 236
1494 1613 82 238
1671 1777 243 490
1797 1920 389 677
1360 1575 278 792
1739 1899 326 616
1363 1488 203 487
1672 1803 256 484
1495 1613 85 262
1209 1301 56 233
1616 1726 162 402
1793 1920 398 689
1534 1742 257 702
1739 1883 336 621
1393 1550 205 420
1206 1288 49 208
1471 1586 95 272
1508 1581 97 206
1403 1493 56 185
1681 1767 231 356
1852 1920 387 516
1784 1920 441 669
1541 1750 264 711
1734 1889 337 623
755 890 75 420
1419 1558 183 406
1201 1286 57 179
1510 1579 90 225
1174 1251 1 42
1546 1746 274 707
1737 1882 341 610
1377 1547 198 406
1171 1251 43 171
1658 1728 200 330
1068 1116 7 91
1493 1588 87 206
1537 1755 276 709
1708 1867 310 676
1457 1666 213 389
1239 1304 54 254
